,example_index,input_prompt,predicted_text,decode_method,temperature,model,prompt_type,meaning,predicted_meaning,gt_meaning,lyrics,artist,title
47,4001,"<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning:","<|startoftext|> lyrics: I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love). meaning:

I want to be the one to take over your life
And I want you to know that I will be there for you. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

I want to be the one to take over your life
And I want you to know that I will be there for you. ","Gaga wears the pants in this relationship, as guys are traditionally the dominant partner, and they traditionally wear ties.



However, in a conversation with Mirror, Gaga admitted that, at least in her relationship to Taylor Kinney, the case might be a little different:

He is totally in charge. I mean when I am home I am like, shoes are off, I’m making him dinner.","I’m gonna wear the tie, want the power to leave you
 I’m aimin’ for full control of this love (Of this love)",Lady Gaga,G.U.Y.
48,5001,"<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning:","<|startoftext|> lyrics: Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong. meaning:

Gucci Mane is now a millionaire. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

Gucci Mane is now a millionaire. ","A rare Ludacris Double Meaning!!

Purchasing Gucci clothing is an expensive habit, which ties back in with the theme of the song.

Ludacris spins this in two ways. Firstly, he explains that when you’re hot, and you’re relevant in the game, your money is good and your figure is good, the Gucci fits perfectly over your sculpted frame. However, when you fall off (in both a physical and metaphorical sense), your game is much less tight than it was. All of a sudden, that Gucci doesn’t physically fit, nor does it fit with your image. It becomes worthless.

He plays on the word “pockets” to mean both the pockets on your expensive clothing not working anymore, and to indicate you no longer have the bank-roll you once did.","Soon all that Gucci don’t fit, now you out of dough
 One day your pocket’s alright now they all wrong",Ludacris,Money
49,6001,<|startoftext|> lyrics: He wanna taste of my goodies. meaning:,<|startoftext|> lyrics: He wanna taste of my goodies. meaning: “He wants to taste my goodness”. ,beam search,0.95,gpt2-medium,lyrics_meaning,, “He wants to taste my goodness”. ,"In 2004, Ciara dropped her album and chart-topping single, “Goodies.” Since then, a girl’s body and everything that comes with it is known as her goodies. Ciara and Missy are also really good friends, collaborating on Ciara’s “1, 2 Step” and Missy’s “Lose Control” a year later.",He wanna taste of my goodies,Missy Elliott,DripDemeanor
50,7001,"<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning:","<|startoftext|> lyrics: Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire. meaning: I’m in love with this girl, but I can never sleep with her. ",beam search,0.95,gpt2-medium,lyrics_meaning,," I’m in love with this girl, but I can never sleep with her. ",People are in the midst of a society that is destroying their interests (‘the fire’) and the speaker who represents the powers that be is encouraging them to be complacent (‘sleep now’).,"Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire
 Sleep now in the fire",Rage Against the Machine,Sleep Now in the Fire
51,8001,"<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning:","<|startoftext|> lyrics: Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby. meaning: I wake up in the middle of the night, and I can feel it. I feel like I have to do something. ",beam search,0.95,gpt2-medium,lyrics_meaning,," I wake up in the middle of the night, and I can feel it. I feel like I have to do something. ","In the Netflix film Someone Great, which serves as the inspiration for this song, the protagonist’s relationship with her ex-boyfriend is shown through flashbacks, brought on by seeing different reminders of her past.

In an interview on the Elvis Duran Show, Taylor recalled how she ended up writing this song:

I cried watching the movie, and so, for, like, a week, I start waking up from dreams that I’m living out that scenario, that that’s happening to me. And I just would wake up and I’m like, ‘Oh my God, I’m writing a break-up song.’

Throughout the movie, the protagonist periodically gets drunk and high, in an effort to deal with the pain of the failed relationship.","Flashbacks waking me up
 I get drunk, but it’s not enough
 ’Cause the morning comes and you’re not my baby",Taylor Swift,Death by a Thousand Cuts
52,9001,<|startoftext|> lyrics: And I hide behind my mouth. meaning:,<|startoftext|> lyrics: And I hide behind my mouth. meaning: I don’t want you to see me. answer: He hides behind his mouth to hide his true feelings. ,beam search,0.95,gpt2-medium,lyrics_meaning,, I don’t want you to see me. answer: He hides behind his mouth to hide his true feelings. ,"He’s hiding how dark/alone/depressed he feels with his words. The classic tale of saying you’re fine when you’re not or avoiding questions so people don’t realize what bad shape you’re in.

This line is extremely reminiscent of a line from “Fall Away,” one of the band’s most popular songs from their Self-Titled album.

Cause I will save face
For name’s sake

The term which he referenced, “save face,” refers to attempting to cover up your flaws in an attempt to make yourself appear as a “good” person.",And I hide behind my mouth,​twenty one pilots,The Judge
53,10001,"<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning:","<|startoftext|> lyrics: I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain. meaning:

I want you to know that I’m here for you. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

I want you to know that I’m here for you. ","almost a profession, expressing your undying love for sb.

past tense “wanted” vs. present tense “want”
“I wanted to become your comfort and move your heart” -> i wanted to be the best, i would have done anything to make you happy, i wanted you to love me

“I want to take away your sadness, and pain” -> but i know now that you’re hurting, hurting inside. so now all i want to do is to dissolve your sadness, your pain. all i want is to see you happy.","I wanted to become your comfort and move your heart
 I want to take away your sadness, and pain",Genius English Translations,BTS - Magic Shop (English Translation)
54,11001,"<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning:","<|startoftext|> lyrics: This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay. meaning: “I got a lot of love for you”

This is a reference to a line from the song ‘I Got a Lot of Love for You‘ by The Lumineers. ",beam search,0.95,gpt2-medium,lyrics_meaning,," “I got a lot of love for you”

This is a reference to a line from the song ‘I Got a Lot of Love for You‘ by The Lumineers. ","Cole previously spoke of losing his friends on “Knock Tha Hustle” and now reminisces about when they were still alive. His wordplay with “days”—which sounds similar to “daze”—further illustrates how much these losses affect him.



The mentioning of his friend getting shot fits well within the song since Cole later refers to the Ferguson case in verse two.","This for my niggas that was tossed in the graves
 Every so often I fade deep in my thoughts
 And then get lost in the days
 We used to play before your coffin was made
 Just got the call nigga got caught with a stray
 Hope he’s okay",J. Cole,January 28th
55,12001,<|startoftext|> lyrics: Like a kid out in the rain. meaning:,<|startoftext|> lyrics: Like a kid out in the rain. meaning: I’m a little kid in a rainstorm. answer: This is a reference to the song “Rainy Daydreams” by The Lumineers. ,beam search,0.95,gpt2-medium,lyrics_meaning,, I’m a little kid in a rainstorm. answer: This is a reference to the song “Rainy Daydreams” by The Lumineers. ,"Free, without concern for consequences that might be apparent to others. A kid playing in the rain is having a good time but to adults looking on they are just getting wet. The narrator sees Tommy’s piano playing of emblematic of the way he lived his life.",Like a kid out in the rain,Butthole Surfers,Pepper
56,1207,"<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning:","<|startoftext|> lyrics: From underneath the rubble, sing a rebel song. meaning: “I’m from beneath the wreckage”. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “I’m from beneath the wreckage”. ,"Up until now he has felt overwhelmed with burdens. His life is like a wreck, that as broken down around him. But when he listens to the songs he loves he feels energized – as though he can pick up the pieces of his life again. He sings a “rebel song” because he is rebelling against life getting him down. He refuses to give up.","From underneath the rubble, sing a rebel song",Coldplay,Every Teardrop Is a Waterfall
57,2207,<|startoftext|> lyrics: No such zone. meaning:,<|startoftext|> lyrics: No such zone. meaning: I don’t know where I am. answer: This is a reference to the song “No Such Zone” by The Lumineers. ,beam search,0.95,gpt2-medium,lyrics_meaning,, I don’t know where I am. answer: This is a reference to the song “No Such Zone” by The Lumineers. ,"The phrase “no such zone” in the song refers to U.S. postal zones, a predecessor of the current U.S. ZIP Code (an acronym of Zone Improvement Plan). A postal zone was a one- or two-digit number written between the city and state (“New York 1, NY”), whereas a ZIP Code is a five- or nine-digit number written after the state (“New York, NY 10001”).",No such zone,Elvis Presley,Return to Sender
58,3207,"<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning:","<|startoftext|> lyrics: Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating. meaning:

You think you are in control of your life, when in reality you have no control over it. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

You think you are in control of your life, when in reality you have no control over it. ","This may be Halsey’s version of the party scene from Romeo + Juliet, where the star-crossed lovers experience love at first sight. In the literal “script” of Romeo + Juliet, Tybalt spots Romeo with Juliet and immediately wants to fight him:

https://www.youtube.com/watch?v=8JoOpx6VwHk

Solis and Luna’s fight is a metaphorical one, though, referring to their sexually-charged interaction. “If you talk the talk, you’d better walk the walk” is an idiom meaning you have to back up your claims with actions—Solis doesn’t just say he’ll take control, he gets physical and asserts his dominance.

But “flip the script” means to reverse expectations, and Solis being willing to “take a beating” in this context means he’s not afraid to take a submissive role either.

“Flip the script” also refers to the fact that Halsey gender-swapped Romeo and Juliet to create Solis and Luna.","Sittin’ on the counter in your kitchen
 Can you hear my heartbeat fucking kickin’?
 Your eyes light up ’cause you best believe that I got something up my sleeve
 I walk my talk, no time for wishful thinking
 I push up on my toes, you call me “sweet thing”
 I’m breathing down your neck, your body screaming
 And you thought that you were the boss tonight, but I can put up one good fight
 I flip the script like I can take a beating",Halsey,Heaven in Hiding
59,4207,"<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning:","<|startoftext|> lyrics: Boo, let’s get acquainted (What?). meaning: “Get acquainted” is a common phrase used to describe a relationship. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “Get acquainted” is a common phrase used to describe a relationship. ,"This line might be a reference to “Acquainted” by The Weeknd. In May 2017, Lana discussed her friendship with Abel in an interview with the Rolling  Stones:

He’s kind of the reason I was ever on the radio like six years ago. He started posting all my videos on his Tumblr and social media … He’s been in touch with me ever since then. He’s always been really supportive. He had his own path, which led him to this place that’s crazy big. But we’ve just been friends for maybe the past six years.","Boo, let’s get acquainted (What?)",Lana Del Rey,Summer Bummer
60,5207,"<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning:","<|startoftext|> lyrics: Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to. meaning: If you‘re not the one he wants to be with, then he”s not interested in you. ",beam search,0.95,gpt2-medium,lyrics_meaning,," If you‘re not the one he wants to be with, then he”s not interested in you. ",Nicki is the only one her man answers to because he knows she’s the only woman he needs.,"Yo, as long as you know he got the baddest, I’m flattered
 I’m the only one that he answers to",Maroon 5,Sugar (Remix)
61,6207,"<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning:","<|startoftext|> lyrics: Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised. meaning: “It’s preparation is concealed” is a reference to the fact that it is hidden from public view. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “It’s preparation is concealed” is a reference to the fact that it is hidden from public view. ,"These lines highlight the fact that it is no longer just the totalitarian communist governments of JFK’s time in his speech that are taking part in these acts of silencing dissent and mistakes. It is instead governments of the developed world, including the United States and Britain, who continue to do this in today’s world.

The music video includes a shot of whistleblower Edward Snowden’s face, an Anonymous hacker, and Martin Luther King Jr.","Its preparations are concealed, not published
 Its mistakes are buried, not headlined
 Its dissenters are silenced, not praised",Muse,[JFK]
62,7207,"<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning:","<|startoftext|> lyrics: One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar. meaning: “He’s trying to get away from me”. ",beam search,0.95,gpt2-medium,lyrics_meaning,, “He’s trying to get away from me”. ,"One of the two friends decides they want to make something of themselves, to move forward and leave the place they’re in, be it physical or metaphorical. The other friend claims they share the same dream and ambition but in truth is probably too afraid to leave the safety of the “wire”. As this person is clinging to the comfort they feel in their present situation, they prevent them both from ‘flying away’ or progressing together.","One tries to fly away
 And the other watches him close from that wire
 He says he wants to as well
 But he is a liar",Regina Spektor,Two Birds
63,8207,"<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning:","<|startoftext|> lyrics: Killing all in his path, save for that which he longs
 King Kooonnnng!. meaning: I’m gonna kill all of you. answer: This is a reference to the song “Kill All in My Path” by The Lumineers.

https://www.youtube.com/watch?v=qZjX_Z_7_8E ",beam search,0.95,gpt2-medium,lyrics_meaning,," I’m gonna kill all of you. answer: This is a reference to the song “Kill All in My Path” by The Lumineers.

https://www.youtube.com/watch?v=qZjX_Z_7_8E ","Here is started a epic orchestral part, with all the drums, like the drum, and violins, flautes and many epic instruments for an allusion to Kong.

LONG LIVE KING KONG!","Killing all in his path, save for that which he longs
 King Kooonnnng!",Tenacious D,Kong
64,9207,"<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning:","<|startoftext|> lyrics: We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do. meaning:

We are still in the process of building up love, but we are also building it up. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

We are still in the process of building up love, but we are also building it up. ","Relationships are a work in progress. You never achieve perfection. It’s a process of building and tearing down again to start anew.
In the end I’m made my choice to be with you. There is no one else I would want to be on this journey with.","We’re still building and burning down love
 Burning down love
 And when I go there
 I go there with you
 It’s all I can do",U2,Where the Streets Have No Name
65,10207,"<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning:","<|startoftext|> lyrics: I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you. meaning:

I made the mistake of making a song about a girl that I really liked, and I was like, “Oh my God, this is so wrong.” I had a lot of friends that were like that, so it was a really hard time for me. It was just a very, very difficult time to be in a relationship with someone who I loved. ",beam search,0.95,gpt2-medium,lyrics_meaning,,"

I made the mistake of making a song about a girl that I really liked, and I was like, “Oh my God, this is so wrong.” I had a lot of friends that were like that, so it was a really hard time for me. It was just a very, very difficult time to be in a relationship with someone who I loved. ","We all make mistakes, every one of us. And if you love someone and they truly love you, you would hope they can accept you with all those flaws that every single one of us has.

Here the realization stage has hit home and I’m just wanting reassurance and forgiveness from the person that really has my heart. There’s no such thing as perfection, but we can all try to be better people can’t we?","I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you
 I’m only human, can’t you see? I made, I made a mistake
 Please just look me in my face, tell me everything’s okay
 ’Cause I got it, ooh, he’ll never be like you",Flume,Never Be Like You
66,11207,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning:,<|startoftext|> lyrics: You did this to us! You did it! It’s your fault!. meaning: They did something to you and now you are blaming them. ,beam search,0.95,gpt2-medium,lyrics_meaning,, They did something to you and now you are blaming them. ,"In the mindstate that Eminem is at this point, is typical to blame others for things they do themselves. Helps them do anything as they are absolved from any fault.",You did this to us! You did it! It’s your fault!,Eminem,Kim
67,12207,"<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning:","<|startoftext|> lyrics: I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to. meaning: You tried, you tried and you failed. ",beam search,0.95,gpt2-medium,lyrics_meaning,," You tried, you tried and you failed. ","In Neverland, the location for J.M Barrie’s Peter Pan, people don’t grow old. Rihanna feels as if she just came from Neverland because she hasn’t changed over time.



This is the first time we hear about the toxic relationship Rihanna and SZA sing about. Time may not stop RiRi, but the figure she sings to is restraining her. Successful or not, they’re putting an effort to stop her.","I came fluttering in from Neverland
 Time can never stop me, no, no, no, no
 I know you’ve tried to",Rihanna,Consideration
68,1158,"<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning:","<|startoftext|> lyrics: And in the end, you’ll have your best friend. meaning: If you waste the time and effort thatÂ you want to have with your friend it will most likely end up being another would-be drama and your misery is still here. You will be stuck. ",sampling,0.95,gpt2-medium,lyrics_meaning,, If you waste the time and effort thatÂ you want to have with your friend it will most likely end up being another would-be drama and your misery is still here. You will be stuck. ,a relationship is best when you can treat each other like best friends,"And in the end, you’ll have your best friend",Christina Perri,​penguin
69,2907,"<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning:","<|startoftext|> lyrics: Lovely Rita, meter maid
 Lovely Rita, meter maid. meaning: Lovely Rita
E Teller got to pay, telling Rita
“Did you think I”d be loyal to you?”
Loving Rita, she’s going to lose her fortune to the pound.

Lady Rita’s boss, Dale Turner is furious and calls up Rita’s local commissioner (Head of One Enforcement Division in Glasgow) in order to free a number of meters. Rita is enraged on being described in such a way, but Dora Beatty diamonds, a statue of Rita and the Girl of Britannia. Rita only knows Shelly, Barbara Gardiner (Rita’s",sampling,0.95,gpt2-medium,lyrics_meaning,," Lovely Rita
E Teller got to pay, telling Rita
“Did you think I”d be loyal to you?”
Loving Rita, she’s going to lose her fortune to the pound.

Lady Rita’s boss, Dale Turner is furious and calls up Rita’s local commissioner (Head of One Enforcement Division in Glasgow) in order to free a number of meters. Rita is enraged on being described in such a way, but Dora Beatty diamonds, a statue of Rita and the Girl of Britannia. Rita only knows Shelly, Barbara Gardiner (Rita’s","2D interpolates the chorus of legendary English band The Beatles‘ June 1967 track “Lovely Rita.” The band has taken inspiration from The Beatles many times before, exemplified by the cover art of their May 2005 record Demon Days, which drew many comparisons to the art of The Beatles’ May 1970 record, Let It Be:



When asked “Who’s Rita?” by BBC Radio 1’s Annie Mac, the group said:

It’s a lovely name to sing… I sort of think it’s about instant gratification, it doesn’t last. And there’s lots of that around today.","Lovely Rita, meter maid
 Lovely Rita, meter maid",Gorillaz,Momentary Bliss
70,3004,"<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning:","<|startoftext|> lyrics: Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!. meaning: Concrete on the outside is painted, and concrete underneath is his bloody and rock beating heart. This guy is Buddhists and is chopped in half, and that's why he do that. He will chop through concrete.

Stick figure flamingos come in a lot of colors and work with sculptures here, so this disco rock beats are definitely a consistent style to their records and are a representation of him in their music — but still.





Breathing “acids”

The orangutans' oral tradition of “Breathing Acids” proclaims that a good mosquito�",sampling,0.95,gpt2-medium,lyrics_meaning,," Concrete on the outside is painted, and concrete underneath is his bloody and rock beating heart. This guy is Buddhists and is chopped in half, and that's why he do that. He will chop through concrete.

Stick figure flamingos come in a lot of colors and work with sculptures here, so this disco rock beats are definitely a consistent style to their records and are a representation of him in their music — but still.





Breathing “acids”

The orangutans' oral tradition of “Breathing Acids” proclaims that a good mosquito�","Continuing with the martial arts movie metaphors, his prowess is on a whole other level.

Your Rhymes:



His Rhymes:","Forget Karate Kid and these wooden blocks, I chop through concrete
 Concrete, concrete, concrete!",Gorillaz,Clint Eastwood (Phi Life Cypher Version)
71,4004,"<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning:","<|startoftext|> lyrics: She said, “’Cause He made you perfect, babe”. meaning: My dream girl. answer: You’ve agreed to go on engagement dates with somebody, but you spent a grand total of $20,000 on the dating app Tinder? Definitely a terrible idea. That’s when the a’s hit. By saying “cause He made you perfect,” you essentially is saying “‘cause he is perfection, someone else is fake. And the Virgin Mary in the form of hookups, ‘cause aren’t they perfect? No, I don’t think they’re perfect. ",sampling,0.95,gpt2-medium,lyrics_meaning,," My dream girl. answer: You’ve agreed to go on engagement dates with somebody, but you spent a grand total of $20,000 on the dating app Tinder? Definitely a terrible idea. That’s when the a’s hit. By saying “cause He made you perfect,” you essentially is saying “‘cause he is perfection, someone else is fake. And the Virgin Mary in the form of hookups, ‘cause aren’t they perfect? No, I don’t think they’re perfect. ",“Cause he made you perfect” is a direct reference to God and the perception that he made everybody in his image. It emphasizes the fact that everyone is perfect in their own way.,"She said, “’Cause He made you perfect, babe”",Lady Gaga,Born This Way
72,6608,"<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning:","<|startoftext|> lyrics: All in all, you’re just another brick in the wall. meaning: My relationship with you makes me feel so alone
 You don’t make me happy
 All in all, a brick in the wall is standing tall
 “I love you” doesn’t mean much when you’re just another brick in my wall
 http://anarchyagorism.tumblr.com/post/77980114861/fake-broken-girlfriend-means-hell-triggered-and

http://soundcloud.com/andres-forsett/high-functioning-moment-you

So maybe being married is not so great after all",sampling,0.95,gpt2-medium,lyrics_meaning,," My relationship with you makes me feel so alone
 You don’t make me happy
 All in all, a brick in the wall is standing tall
 “I love you” doesn’t mean much when you’re just another brick in my wall
 http://anarchyagorism.tumblr.com/post/77980114861/fake-broken-girlfriend-means-hell-triggered-and

http://soundcloud.com/andres-forsett/high-functioning-moment-you

So maybe being married is not so great after all","As represented by the children in large cubicles, and later faceless masks, they became an amorphous, indistinguishable mass, akin to a brick wall.



This can also be taken as a sort of dismissal of the teacher’s authority – “you are no better than me or anyone else. You are using your age and position of power to take advantage of me” (and the previous song shows that in their homes, the teacher would’ve been subdued by their wives).  In Pink’s point of view, the teacher’s abuse is another brick  that helped him build the Wall that separated him from everyone else (“you are another mental scar that will effect how I am and how I treat others in the future”).","All in all, you’re just another brick in the wall",Pink Floyd,"Another Brick in the Wall, Pt. 2"
73,8000,"<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning:","<|startoftext|> lyrics: I ask the traffic lights if it’ll be alright
 They say, “I don’t know”. meaning: If this is good, you understand why I’m here. So they load to green
 And the “monday lights come on” oh eight o clock. answer: Additionally, the slightly over-produced vocals carry a Hindenburg-like sound reminiscent of the largest airplane crash in world history. ",sampling,0.95,gpt2-medium,lyrics_meaning,," If this is good, you understand why I’m here. So they load to green
 And the “monday lights come on” oh eight o clock. answer: Additionally, the slightly over-produced vocals carry a Hindenburg-like sound reminiscent of the largest airplane crash in world history. ","In a tumblr post, Taylor explained the meaning behind this peculiar phrase:

[it’s] like how when you’re struggling through something time slows down and everything is a sign and you’ll take advice from a tree because you’re just GOIN THROUGH IT MAN.

She mentioned that she enjoys the memes fans have created for the line.



It also links back to “Cornelia Street,” the previous song, in which Swift sings:

As if the street lights pointed in an arrow head
Leading us home

If the relationship ends, not only will she never walk Cornelia Street again, but she will also be lost without the traffic lights to guide her.

Asking the traffic lights shows her desperation and lack of direction because it implies that she is so desperate for a sign, that she is willing to look anywhere.","I ask the traffic lights if it’ll be alright
 They say, “I don’t know”",Taylor Swift,Death by a Thousand Cuts
74,8009,"<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning:","<|startoftext|> lyrics: And if this is the long haul
 How’d we get here so soon?. meaning: If our desires do not extend beyond our own freedom, reminding ourselves of the very idea of freedom and seeking freedom to explore.

Dressed in a Church Kilt and a Pink Polo and leaning over a bench where an orange juice fountain is sitting
 “triple meaning” at the hip, Chris uses his range of deranged and crazy thoughts as revenge for being sent back in time and staying little. ",sampling,0.95,gpt2-medium,lyrics_meaning,," If our desires do not extend beyond our own freedom, reminding ourselves of the very idea of freedom and seeking freedom to explore.

Dressed in a Church Kilt and a Pink Polo and leaning over a bench where an orange juice fountain is sitting
 “triple meaning” at the hip, Chris uses his range of deranged and crazy thoughts as revenge for being sent back in time and staying little. ","The reference to ‘the long haul’ suggests that they assumed their relationship would be forever, and the narrator seems confused, asking ‘how’d we get here so soon?’ The ‘here’ she refers to could be the here on the verge of their break up, or just the part in their relationship where she feels alone","And if this is the long haul
 How’d we get here so soon?",Taylor Swift,​coney island
75,10003,"<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning:","<|startoftext|> lyrics: I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars. meaning: even though truth be told she will regret her decisions
  I know it’s all gonna bring back the scars. ",sampling,0.95,gpt2-medium,lyrics_meaning,," even though truth be told she will regret her decisions
  I know it’s all gonna bring back the scars. ",Because there is no point in saying the truth cause even bitter truth will scar your soul as u r saying it and it will scar the person and ur relationship as well,"I know that you’re hesitating because even if you say the truth
 In the end it will all return as scars",Genius English Translations,BTS - Magic Shop (English Translation)
76,11008,<|startoftext|> lyrics: [Interlude]. meaning:,<|startoftext|> lyrics: [Interlude]. meaning: High school is all about rebellion because regardless of people getting you down or torturing you you don’t wanna let anyone in your life put you down. ,sampling,0.95,gpt2-medium,lyrics_meaning,, High school is all about rebellion because regardless of people getting you down or torturing you you don’t wanna let anyone in your life put you down. ,"The audio clip here is taken from a fight on June 27, 2016 before a concert due to a failed collaboration with rapper @Not_Linden. X then went to his show and “sucker punched” him, to which they continued to fight outside, with X winning in the end.

https://twitter.com/Not_Linden/status/747986526110425088",[Interlude],XXXTENTACION,YuNg BrAtZ
77,12005,"<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning:","<|startoftext|> lyrics: Well, he seemed broken hearted
 Somethin’ within him. meaning: He’s in the 5, he’s a 1-0. ",sampling,0.95,gpt2-medium,lyrics_meaning,," He’s in the 5, he’s a 1-0. ","Nicks told Billboard that this lyric was inspired by Tom Petty:

‘Edge of Seventeen’ is also a little bit about Tom. ‘He seemed broken hearted/Somethin’ within him,‘ that was [his wife] Jane talking about Tom. I bet a lot of people thought I was talking about me, but I was chronicling their relationship as she told it to me.

She also explained how Jane inspired the song’s title:

I asked Tom’s wife, Jane, when she met him. She said, ‘I met him at some point during the age of 17.’ But I thought she said, ‘The edge of 17.’ I said, ‘Jane, can I use that? Can I write a song called “Edge of Seventeen”?’","Well, he seemed broken hearted
 Somethin’ within him",Stevie Nicks,Edge of Seventeen
